UserID,subscriber_status,Gender,Race,email_flag,smh_flag,Age_brackets,Province,Channel,watch_date,dayname,monthname,watch_time,hour_of_day,day_classification,day_type,duration,screen_time
810240,Subscriber,Unclassified,Other,1,0,Teenage,Not Provided,Africa Magic,2016-03-12,Sat,Mar,20:01:00,20,04. Evening,Weekend,00:13:23,Short
773027,Subscriber,male,coloured,1,1,Older Adult,Western Cape,Cartoon Network,2016-03-05,Sat,Mar,15:56:00,15,03. Afternoon,Weekend,00:04:18,Short
830980,Subscriber,male,indian_asian,1,1,Older Adult,Kwazulu Natal,SuperSport Blitz,2016-03-17,Thu,Mar,13:13:00,13,03. Afternoon,Weekday,00:00:51,Short
808657,Subscriber,male,white,1,1,Adult,Mpumalanga,Boomerang,2016-02-25,Thu,Feb,13:31:00,13,03. Afternoon,Weekday,00:00:26,Short
833157,Subscriber,male,black,1,1,Adult,Gauteng,ICC Cricket World Cup 2011,2016-03-02,Wed,Mar,09:41:00,9,02. Morning,Weekday,00:07:28,Short
931546,Subscriber,male,indian_asian,1,1,Adult,North West,Channel O,2016-03-31,Thu,Mar,15:15:00,15,03. Afternoon,Weekday,00:04:36,Short
810259,Subscriber,male,black,1,1,Adult,North West,Live Event,2016-03-13,Sun,Mar,20:18:00,20,04. Evening,Weekend,00:01:32,Short
810259,Subscriber,male,black,1,1,Adult,North West,SawSee,2016-02-17,Wed,Feb,18:23:00,18,04. Evening,Weekday,00:00:33,Short
810259,Subscriber,male,black,1,1,Adult,North West,Cartoon Network,2016-02-12,Fri,Feb,08:36:00,8,02. Morning,Weekday,00:00:41,Short
907138,Subscriber,male,white,1,1,Adult,Gauteng,Live Event,2016-03-26,Sat,Mar,07:17:00,7,02. Morning,Weekend,00:35:42,Moderate
2361615,Subscriber,male,Other,1,1,Older Adult,Mpumalanga,Africa Magic,2016-01-04,Mon,Jan,02:59:00,2,01. Late Night,Weekday,00:17:54,Short
773055,Subscriber,male,black,1,1,Adult,Kwazulu Natal,Africa Magic,2016-01-28,Thu,Jan,20:31:00,20,04. Evening,Weekday,00:00:01,Short
773057,Subscriber,male,black,1,1,Older Adult,Western Cape,Live Event,2016-01-09,Sat,Jan,16:03:00,16,03. Afternoon,Weekend,02:03:00,Long
773057,Subscriber,male,black,1,1,Older Adult,Western Cape,CNN,2016-01-20,Wed,Jan,11:00:00,11,02. Morning,Weekday,00:19:49,Short
794647,Subscriber,male,white,1,1,Older Adult,Gauteng,Boomerang,2016-01-02,Sat,Jan,09:33:00,9,02. Morning,Weekend,00:06:45,Short
794647,Subscriber,male,white,1,1,Older Adult,Gauteng,Africa Magic,2016-01-04,Mon,Jan,16:16:00,16,03. Afternoon,Weekday,00:00:07,Short
821952,Subscriber,male,coloured,1,1,Adult,Eastern Cape,Cartoon Network,2016-02-23,Tue,Feb,08:56:00,8,02. Morning,Weekday,00:01:08,Short
867604,Subscriber,male,indian_asian,1,1,Adult,Limpopo,Entertainment,2016-03-05,Sat,Mar,19:02:00,19,04. Evening,Weekend,00:09:58,Short
810281,Subscriber,male,coloured,1,1,Older Adult,Western Cape,Boomerang,2016-02-22,Mon,Feb,19:11:00,19,04. Evening,Weekday,00:00:09,Short
522890,Subscriber,Unclassified,Other,1,0,Teenage,Not Provided,Entertainment,2016-01-07,Thu,Jan,18:35:00,18,04. Evening,Weekday,00:00:28,Short
810289,Subscriber,male,black,1,1,Adult,Gauteng,ICC Cricket World Cup 2011,2016-03-25,Fri,Mar,15:43:00,15,03. Afternoon,Weekday,00:08:22,Short
737176,Subscriber,male,black,1,1,Adult,Limpopo,Channel O,2016-01-27,Wed,Jan,18:17:00,18,04. Evening,Weekday,00:01:09,Short
893832,Subscriber,male,black,1,1,Adult,Limpopo,CNN,2016-03-24,Thu,Mar,07:39:00,7,02. Morning,Weekday,00:05:37,Short
893834,Subscriber,male,black,1,1,Adult,Limpopo,Trace TV,2016-03-15,Tue,Mar,01:28:00,1,01. Late Night,Weekday,00:03:42,Short
793382,Subscriber,Unclassified,Other,1,0,Teenage,Not Provided,ICC Cricket World Cup 2011,2016-03-16,Wed,Mar,10:16:00,10,02. Morning,Weekday,01:32:18,Long
793382,Subscriber,Unclassified,Other,1,0,Teenage,Not Provided,ICC Cricket World Cup 2011,2016-03-25,Fri,Mar,16:27:00,16,03. Afternoon,Weekday,01:30:34,Long
641005,Subscriber,male,Other,1,1,Adult,Mpumalanga,Africa Magic,2016-01-11,Mon,Jan,18:03:00,18,04. Evening,Weekday,00:00:08,Short
178992,Subscriber,female,indian_asian,1,1,Adult,Limpopo,Live Event,2016-01-12,Tue,Jan,12:57:00,12,03. Afternoon,Weekday,00:02:20,Short
907265,Subscriber,male,indian_asian,1,1,Adult,Gauteng,ICC Cricket World Cup 2011,2016-03-29,Tue,Mar,09:43:00,9,02. Morning,Weekday,00:14:10,Short
821975,Subscriber,male,black,1,1,Adult,Gauteng,Entertainment,2016-03-19,Sat,Mar,10:59:00,10,02. Morning,Weekend,00:01:24,Short
